2021-11-03 17:48:11.168879['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:33.295472['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:42.581314['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:43.636810['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:44.337789['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:55.120166['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:55.816297['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:56.469358['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:57.129531['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:57.661333['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:58.156482['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:58.700404['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:59.326683['./keyMapper/keymap.py', 'z']
2021-11-03 17:48:59.977313['./keyMapper/keymap.py', 'z']
2021-11-03 17:49:00.573678['./keyMapper/keymap.py', 'z']
2021-11-03 17:52:28.137030['./keyMapper/keymap.py', 'x']
2021-11-03 17:52:29.683191['./keyMapper/keymap.py', '0']
